time,temperature
1554224413,15.745147881983456
1554226217,15.800813514438337
1554228020,15.689249469556493
1554229823,15.636118588497249
1554231625,15.881734278285737
1554233429,15.81290738007994
1554235232,15.782595089603932
1554237035,15.427766065744276
1554238838,15.126550631530105
1554240642,15.020204103201271
1554242445,15.064369454462323
1554244248,14.991846421802574
1554246051,15.228928484913718
1554247854,15.324949412884774
1554249657,15.33944146601662
1554251461,15.403096167158226
1554253618,15.65975646194874
1554255420,15.881163329424526
1554257224,16.118640211678386
1554259027,16.389884634284044
1554260829,16.666523131858696
1554262633,17.124502963856926
1554264969,15.650713124669169
1554266772,15.64357960925831
1554270995,18.482094333207503
1554272798,19.368719951759328
1554274601,19.8050578039722
1554276403,19.95192124057273
1554278206,18.68793822238698
1554280009,18.350572839936746
1554281812,18.02022804651243
1554283555,17.58610811869205
1554285976,17.168967380834918
1554287779,16.868606509475654
1554289582,16.35150352473948
1554291386,16.215000077630968
1554293189,16.04876348989637
1554294992,16.075643431960977
1554296795,16.065214713348492
1554298598,15.886071224346114
1554300401,15.59821425712167
1554302204,15.538784802691668
1554304008,15.448934258498335
1554305811,15.429491504785634
1554310860,14.956530655845434
1554312663,15.016403912316227
1554314466,15.019021070062774
1554316270,14.893201099322393
1554318073,14.872570358144776
1554319876,14.939870024501062
1554321679,14.673529977985957
1554323483,14.670847063372658
1554325285,14.870669411627063
1554327089,14.921631630012794
1554328891,14.580800628827262
1554330635,14.579617721455177
1554332438,14.786862583789768
1554334241,14.848960945131877
1554335985,14.97908372282547
1554337787,15.12690435547676
1554339591,15.125326808156135
1554341394,15.389063702025567
1554343197,15.721676535579533
1554345000,15.866574864693131
1554346803,16.169133421290148
1554348606,16.300462212193732
1554350454,14.916371482075421
1554352258,14.95382622543954
1554354075,16.953963970904315
1554355878,16.844400654564932
1554357681,16.66970967342264
1554359485,17.112945828293526
1554361288,16.892630702914744
1554363091,17.42156738464286
1554364894,17.743088239584186
1554366697,18.237777486696892
1554368501,18.371019247075765
1554370304,18.468219532084273
1554372107,18.39130657467141
1554373910,18.171845279021035
1554375713,17.865081180673624
1554377516,17.243002061637995
1554379319,16.331068451826024
1554381121,16.259268786288903
1554382925,15.91190040168234
1554384728,15.835291108946084
1554386531,15.771235383795766
1554388335,15.724566215952937
1554390138,15.212073802363012
1554391941,15.277409753031128
1554393730,16.633111221056893
1554395533,16.7429609945297
1554397352,15.049734886896099
1554399154,15.161436656753871
1554400958,14.899449269435177
1554402762,14.886462395023894
1554404504,14.754869005507533
1554406308,14.780212702984542
1554408111,14.77981929650505
1554409915,14.642011981044378
1554411719,14.319187193216214
1554413522,14.089308568105706
1554415326,14.135058087785358
1554417129,13.934723826385843
1554418932,14.423157194103542
1554420676,14.560879018038133
1554422479,15.011208227238141
1554424282,15.39820168351064
1554426085,15.876113614924625
1554427889,16.5568245153843
1554429691,18.17676822548835
1554431495,18.683615957220393
1554433298,19.984496530730375
1554435100,21.569915364838312
1554436884,15.231779972709669
1554438688,15.161661970600814
1554440510,24.420025398346848
1554442312,24.966049284664088
1554444115,25.028722663398646
1554451504,25.683218416005463
1554453306,25.843142460211055
1554455109,25.61603712127579
1554456912,25.334732342852412
1554458774,24.9308889475739
1554460576,24.23161733514749
1554462379,22.56623789740002
1554464182,21.551867353325214
1554465985,20.434194435591518
1554467727,19.960733275761253
1554469530,19.543573882800306
1554471272,19.246236797751976
1554473136,18.908728077550652
1554474938,18.693346675985484
1554476741,18.483564848606374
1554478544,18.215744408566568
1554480464,22.138380461937604
1554482267,23.82674178496594
1554516643,20.42309214599143
1554518445,21.78463622266313
1554520247,21.95455223961793
1554522050,23.586709755580173
1554527457,26.659902585978497
1554529259,26.813302424729724
1554531062,28.313431748370057
1554532863,28.870143168525466
1554541872,28.61793108011534
1554543674,27.831434933946237
1554545476,26.48656426566598
1554547278,25.597250333207153
1554549079,24.352591082231605
1554550881,23.07166950093491
1554552683,21.506972366809396
1554554486,20.94113110666738
1554556348,20.611051676513725
1554558150,20.17035894477893
1554559953,19.572482299169945
1554561755,19.43756665531762
1554563558,19.38634578818138
1554565360,19.15931595736895
1554567233,24.393080574926454
1554569035,25.79384819808554
1554570827,18.150844627346174
1554572569,18.03143790802217
1554574312,18.008385048233205
1554576115,17.701349700819556
1554577918,17.580980485722172
1554579720,17.463760845351356
1554581523,16.907142690009046
1554583326,16.809549255150156
1554585189,16.63082647837646
1554586991,16.417068585871657
1554588794,16.386612781960462
1554590596,16.439602982010285
1554592399,15.257640880150996
